time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1561001051.78703880,0.02424001,4835,0.00567530,0.00000000,0,0.00000000,180040,180569,1065,0.00000000
1561001051.88555169,0.03149215,4829,0.00514608,0.00000000,0,0.00000000,180569,181015,979,0.00000000
1561001051.98712301,0.01806865,4825,0.00453858,0.00000000,0,0.00000000,181015,181530,991,0.00278299
1561001052.08739519,0.02318614,4810,0.00379663,0.00000000,0,0.00000000,181530,182000,1016,0.00307883
1561001052.18853736,0.02305028,4763,0.00432023,0.00000000,0,0.00000000,182000,182556,1047,0.00000000
1561001052.28849959,0.02463405,4650,0.00402674,0.00000000,0,0.00000000,182556,183107,1046,0.00375922
1561001052.38720822,0.02352598,4590,0.00538088,0.00000000,0,0.00000000,183107,183502,900,0.00000000
1561001052.48856497,0.02249931,4596,0.00477549,0.00000000,0,0.00000000,183502,183886,900,0.00218203
1561001052.58739400,0.06165307,4667,0.04036608,0.00000000,0,0.00000000,183886,191937,907,0.00000000
1561001052.68864727,0.02231558,4636,0.00788214,0.00000000,0,0.00000000,191814,192247,877,0.00362564
1561001052.78861570,0.02729459,4628,0.00330105,0.00000000,0,0.00000000,192164,192544,950,0.00000000
1561001052.88722515,0.02654619,4585,0.00487423,0.00000000,0,0.00000000,192544,192961,947,0.00179674
1561001052.98858356,0.02081523,4626,0.00321169,0.00000000,0,0.00000000,192961,193349,892,0.00000000
1561001053.08800054,0.01802249,4567,0.00474011,0.00000000,0,0.00000000,193349,193783,883,0.00226548
1561001053.18763947,0.01873269,4589,0.00330342,0.00000000,0,0.00000000,193783,194253,844,0.00000000
1561001053.28867841,0.01792964,4523,0.00282799,0.00000000,0,0.00000000,194253,194711,851,0.00186122
1561001053.38715744,0.01657162,4502,0.00285690,0.00000000,0,0.00000000,194711,194929,821,0.00000000
1561001053.48876929,0.01474631,4504,0.00260984,0.00000000,0,0.00000000,194929,195260,855,0.00177634
1561001053.58711171,0.01799399,4544,0.00441020,0.00000000,0,0.00000000,195260,195181,813,0.00000000
1561001053.68835258,0.01909276,4464,0.00549231,0.00000000,0,0.00000000,195181,195461,804,0.00158549
1561001053.78846622,0.01884726,4419,0.00511505,0.00000000,0,0.00000000,195461,195886,868,0.00000000
1561001053.88702154,0.02156303,4420,0.00369529,0.00000000,0,0.00000000,195886,195986,812,0.00195238
1561001053.98712158,0.01726663,4395,0.00297461,0.00000000,0,0.00000000,195986,196511,884,0.00000000
1561001054.08725142,0.01986277,4345,0.00393753,0.00000000,0,0.00000000,196511,196929,799,0.00297573
1561001054.18884134,0.01369659,4336,0.00230109,0.00000000,0,0.00000000,196929,197340,801,0.00000000
1561001054.28900170,0.01592375,4301,0.00337130,0.00000000,0,0.00000000,197340,197757,821,0.00686916
1561001054.38904309,0.02119667,4306,0.00652452,0.00000000,0,0.00000000,197757,198144,824,0.00000000
1561001054.48904610,0.01816723,4239,0.00479392,0.00000000,0,0.00000000,198144,198472,805,0.00287750
1561001054.58875537,0.07046175,4252,0.04891561,0.00000000,0,0.00000000,198472,204101,805,0.00000000
1561001054.68915319,0.02233702,4168,0.00764602,0.00000000,0,0.00000000,203785,204196,773,0.00255719
1561001054.78928208,0.02118048,4109,0.00485021,0.00000000,0,0.00000000,203412,203731,793,0.00000000
1561001054.88743329,0.01429584,4050,0.00212872,0.00000000,0,0.00000000,203731,204051,763,0.00273373
1561001054.98871875,0.01434053,4044,0.00303053,0.00000000,0,0.00000000,204051,204500,789,0.00000000
1561001055.08876085,0.01885098,3989,0.00454249,0.00000000,0,0.00000000,204500,204861,780,0.00277180
1561001055.18845296,0.01820432,3907,0.00435056,0.00000000,0,0.00000000,204861,205120,790,0.00000000
1561001055.28868222,0.02041759,3906,0.00517805,0.00000000,0,0.00000000,205120,205433,751,0.00371519
1561001055.38866067,0.02101741,3921,0.00450656,0.00000000,0,0.00000000,205433,205800,771,0.00000000
1561001055.48923564,0.02113548,3948,0.00443607,0.00000000,0,0.00000000,205800,206156,819,0.00000000
1561001055.58756733,0.01529098,3970,0.00214791,0.00000000,0,0.00000000,206156,206466,730,0.00252581
1561001055.68896866,0.01707845,3937,0.00316682,0.00000000,0,0.00000000,206466,206818,795,0.00345490
1561001055.78899860,0.02032463,3907,0.00599307,0.00000000,0,0.00000000,206818,207038,761,0.00000000
1561001055.88739705,0.01951487,3922,0.00563462,0.00000000,0,0.00000000,207038,207404,823,0.00613194
1561001055.98883724,0.02431604,3870,0.00668692,0.00000000,0,0.00000000,207404,207683,824,0.00000000
1561001056.08735418,0.02033257,3917,0.00780511,0.00000000,0,0.00000000,207683,208103,842,0.00000000
1561001056.18879604,0.02220492,3893,0.00527026,0.00000000,0,0.00000000,208103,208413,773,0.00214743
1561001056.28922057,0.02051547,3936,0.00450118,0.00000000,0,0.00000000,208413,208841,815,0.00288994
1561001056.38893461,0.01971917,3964,0.00397917,0.00000000,0,0.00000000,208841,209236,848,0.00000000
1561001056.48903918,0.01797700,3999,0.00327957,0.00000000,0,0.00000000,209236,209645,863,0.00000000
1561001056.58915734,0.13498561,3957,0.10981020,0.00000000,0,0.00000000,209645,242384,825,0.00222132
1561001056.69020867,0.02491540,3990,0.00288474,0.00000000,0,0.00000000,242384,243183,821,0.00316389
1561001056.79013348,0.03828400,3926,0.00377525,0.00000000,0,0.00000000,243183,243990,832,0.00000000
1561001056.88964868,0.02617565,3902,0.00425653,0.00000000,0,0.00000000,243990,244789,824,0.00292597
1561001056.98988748,0.02358830,3884,0.00706246,0.00000000,0,0.00000000,177830,180009,2436,0.00000000
1561001057.08859396,0.02081476,3889,0.00649196,0.00000000,0,0.00000000,180009,181847,2393,0.00000000
1561001057.18989372,0.02062035,3877,0.00574380,0.00000000,0,0.00000000,181847,183209,1877,0.00216054
1561001057.28999686,0.01741733,3816,0.00411221,0.00000000,0,0.00000000,183209,184254,1735,0.00195980
1561001057.38869095,0.01616499,3831,0.00376294,0.00000000,0,0.00000000,184254,185068,1625,0.00000000
1561001057.49004745,0.01709213,3759,0.00397950,0.00000000,0,0.00000000,185068,185801,1450,0.00000000
1561001057.59000421,0.01446006,3804,0.00397590,0.00000000,0,0.00000000,185801,186539,1435,0.00255378
1561001057.68996477,0.01901389,3784,0.00548163,0.00000000,0,0.00000000,186539,187198,1375,0.00224998
1561001057.79020095,0.01608948,3749,0.00431769,0.00000000,0,0.00000000,187198,187952,1417,0.00000000
1561001057.89013791,0.01542818,3771,0.00392253,0.00000000,0,0.00000000,187952,188574,1416,0.00250925
1561001057.99038053,0.01820630,3719,0.00367356,0.00000000,0,0.00000000,188574,189216,1311,0.00000000
1561001058.08892822,0.01756599,3670,0.00353720,0.00000000,0,0.00000000,189216,189808,1264,0.00179621
1561001058.19002247,0.01483170,3744,0.00308619,0.00000000,0,0.00000000,189808,190348,1245,0.00000000
1561001058.29117584,0.01567675,3764,0.00360003,0.00000000,0,0.00000000,190348,190663,1239,0.00187174
1561001058.39120626,0.01402720,3718,0.00355030,0.00000000,0,0.00000000,190663,191293,1213,0.00000000
1561001058.49106050,0.01973721,3759,0.00584024,0.00000000,0,0.00000000,191293,191641,1199,0.00000000
1561001058.59001398,0.06805616,3762,0.04649692,0.00000000,0,0.00000000,191641,204666,1144,0.00143239
1561001058.69104862,0.02081952,3729,0.00521992,0.00000000,0,0.00000000,204666,205103,1081,0.00188486
1561001058.79108572,0.01722587,3733,0.00303993,0.00000000,0,0.00000000,204694,205245,1049,0.00000000
1561001058.88338423,0.01931447,3693,0.00322216,0.00000000,0,0.00000000,205245,205492,1056,0.00188229
1561001058.98361230,0.01829071,3742,0.00445137,0.00000000,0,0.00000000,205492,205984,1032,0.00000000
1561001059.08276916,0.01465074,3752,0.00261388,0.00000000,0,0.00000000,205455,206011,1011,0.00306343
1561001059.18371987,0.01558056,3732,0.00508695,0.00000000,0,0.00000000,206011,206491,1065,0.00000000
1561001059.28368807,0.02169948,3734,0.00506825,0.00000000,0,0.00000000,206491,206759,1003,0.00237430
1561001059.38404775,0.02082337,3775,0.00306017,0.00000000,0,0.00000000,206759,207205,1006,0.00000000
1561001059.48358536,0.01993774,3763,0.00301386,0.00000000,0,0.00000000,207205,207575,973,0.00235953
1561001059.58239102,0.01690813,3765,0.00448795,0.00000000,0,0.00000000,207575,207833,970,0.00000000
1561001059.68252039,0.01679640,3811,0.00298807,0.00000000,0,0.00000000,207833,208192,979,0.00195167
1561001059.78232431,0.01564313,3781,0.00257948,0.00000000,0,0.00000000,208192,208656,938,0.00000000
1561001059.88340878,0.01821436,3773,0.00447586,0.00000000,0,0.00000000,208656,209001,953,0.00157372
1561001059.98348475,0.01739048,3838,0.00405115,0.00000000,0,0.00000000,209001,209426,1003,0.00000000
1561001060.08214617,0.01370121,3862,0.00280103,0.00000000,0,0.00000000,209426,209763,1022,0.00285143
1561001060.18303370,0.01379813,3907,0.00275035,0.00000000,0,0.00000000,209763,210222,990,0.00000000
1561001060.28313947,0.01838595,3925,0.00373705,0.00000000,0,0.00000000,210222,210672,972,0.00313462
1561001060.38214064,0.01957178,3909,0.00346327,0.00000000,0,0.00000000,210672,211174,957,0.00000000
1561001060.48346043,0.01886074,3883,0.00401310,0.00000000,0,0.00000000,211174,211694,937,0.00000000
1561001060.58247924,0.03967475,3934,0.01955408,0.00000000,0,0.00000000,211152,217218,984,0.00473148
1561001060.68378735,0.03012876,3904,0.01053841,0.00000000,0,0.00000000,217218,217971,989,0.00382682
1561001060.78493381,0.02191872,3964,0.00586234,0.00000000,0,0.00000000,214908,215571,935,0.00000000
1561001060.88497710,0.02232206,3902,0.00535687,0.00000000,0,0.00000000,215571,216278,953,0.00167437
1561001060.98364687,0.02464747,4003,0.00624276,0.00000000,0,0.00000000,215208,215967,934,0.00000000
1561001061.08294487,0.01804356,3975,0.00259676,0.00000000,0,0.00000000,215333,216021,944,0.00203273
1561001061.18535972,0.01885480,3975,0.00434647,0.00000000,0,0.00000000,216021,216709,950,0.00000000
1561001061.28413367,0.01946790,4014,0.00396714,0.00000000,0,0.00000000,216709,217439,984,0.00198704
1561001061.38408256,0.02039657,4039,0.00317686,0.00000000,0,0.00000000,217439,218088,938,0.00000000
1561001061.48418570,0.02022035,4134,0.00318291,0.00000000,0,0.00000000,218088,218724,987,0.00174772
1561001061.58235669,0.01965819,4083,0.00254373,0.00000000,0,0.00000000,218724,219391,996,0.00000000
1561001061.68449831,0.02358073,4180,0.00275960,0.00000000,0,0.00000000,219391,220004,950,0.00153573
1561001061.78407073,0.02129459,4204,0.00276246,0.00000000,0,0.00000000,220004,220664,991,0.00000000
1561001061.88277555,0.01858130,4216,0.00347978,0.00000000,0,0.00000000,220664,220990,974,0.00284117
1561001061.98438025,0.01956623,4320,0.00359210,0.00000000,0,0.00000000,220990,221678,1058,0.00000000
1561001062.08263326,0.01865538,4282,0.00269448,0.00000000,0,0.00000000,221678,222289,1045,0.00267774
1561001062.18308830,0.01831489,4329,0.00285868,0.00000000,0,0.00000000,222289,222846,1055,0.00000000
1561001062.28392792,0.02254517,4383,0.00616573,0.00000000,0,0.00000000,222846,223381,1063,0.00517062
1561001062.38441586,0.02489801,4415,0.00444135,0.00000000,0,0.00000000,223381,223945,1089,0.00000000
1561001062.48448205,0.02647156,4410,0.00413137,0.00000000,0,0.00000000,223945,224452,1064,0.00000000
1561001062.58278704,0.05716102,4437,0.02241079,0.00000000,0,0.00000000,224452,232082,1081,0.00393362
1561001062.68453741,0.02668706,4489,0.00480561,0.00000000,0,0.00000000,232082,232608,1045,0.00333103
1561001062.78322339,0.01910783,4511,0.00446067,0.00000000,0,0.00000000,232608,232882,1052,0.00000000
1561001062.88440323,0.01698538,4597,0.00367707,0.00000000,0,0.00000000,232882,233069,1022,0.00358347
1561001062.98425293,0.02452878,4548,0.00640378,0.00000000,0,0.00000000,232566,232836,1020,0.00000000
1561001063.08242178,0.02197878,4556,0.00439184,0.00000000,0,0.00000000,232836,233350,1005,0.00282446
1561001063.18408990,0.02874048,4603,0.00498964,0.00000000,0,0.00000000,233350,233894,1015,0.00000000
1561001063.28241730,0.01897856,4625,0.00364814,0.00000000,0,0.00000000,233894,234280,1022,0.00426079
